OrganisationURI,OrganisationLabel,Air Quality Monitoring Station,Location,Type,End Date,End Time,PM10,Units,NO2,Units
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,14:00:00,9,ugm-3 (INDIC.GRAV),46,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,15:00:00,9,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,16:00:00,9,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,17:00:00,8,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,18:00:00,9,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,19:00:00,12,ugm-3 (INDIC.GRAV),34,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,20:00:00,14,ugm-3 (INDIC.GRAV),31,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,21:00:00,16,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,22:00:00,8,ugm-3 (INDIC.GRAV),27,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,23:00:00,14,ugm-3 (INDIC.GRAV),27,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,24:00:00,17,ugm-3 (INDIC.GRAV),25,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,01:00:00,20,ugm-3 (INDIC.GRAV),23,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,02:00:00,21,ugm-3 (INDIC.GRAV),13,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,03:00:00,10,ugm-3 (INDIC.GRAV),15,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,04:00:00,9,ugm-3 (INDIC.GRAV),11,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,05:00:00,9,ugm-3 (INDIC.GRAV),11,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,06:00:00,5,ugm-3 (INDIC.GRAV),19,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,07:00:00,9,ugm-3 (INDIC.GRAV),36,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,08:00:00,14,ugm-3 (INDIC.GRAV),54,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,09:00:00,16,ugm-3 (INDIC.GRAV),69,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,10:00:00,21,ugm-3 (INDIC.GRAV),73,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,11:00:00,21,ugm-3 (INDIC.GRAV),75,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,12:00:00,21,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,13:00:00,23,ugm-3 (INDIC.GRAV),63,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,14:00:00,31,ugm-3 (INDIC.GRAV),65,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,15:00:00,30,ugm-3 (INDIC.GRAV),69,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,16:00:00,34,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,17:00:00,31,ugm-3 (INDIC.GRAV),99,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,18:00:00,29,ugm-3 (INDIC.GRAV),96,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,19:00:00,30,ugm-3 (INDIC.GRAV),77,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,20:00:00,25,ugm-3 (INDIC.GRAV),59,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,21:00:00,27,ugm-3 (INDIC.GRAV),46,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,22:00:00,26,ugm-3 (INDIC.GRAV),42,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,23:00:00,23,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,02/01/2014,24:00:00,18,ugm-3 (INDIC.GRAV),25,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,01:00:00,8,ugm-3 (INDIC.GRAV),25,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,02:00:00,5,ugm-3 (INDIC.GRAV),10,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,03:00:00,5,ugm-3 (INDIC.GRAV),11,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,04:00:00,20,ugm-3 (INDIC.GRAV),11,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,05:00:00,35,ugm-3 (INDIC.GRAV),19,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,06:00:00,43,ugm-3 (INDIC.GRAV),23,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,07:00:00,46,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,08:00:00,9,ugm-3 (INDIC.GRAV),34,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,09:00:00,9,ugm-3 (INDIC.GRAV),57,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,10:00:00,16,ugm-3 (INDIC.GRAV),61,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,11:00:00,21,ugm-3 (INDIC.GRAV),59,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,12:00:00,26,ugm-3 (INDIC.GRAV),55,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,13:00:00,26,ugm-3 (INDIC.GRAV),55,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,14:00:00,14,ugm-3 (INDIC.GRAV),59,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,15:00:00,46,ugm-3 (INDIC.GRAV),61,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,16:00:00,33,ugm-3 (INDIC.GRAV),55,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,17:00:00,27,ugm-3 (INDIC.GRAV),61,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,18:00:00,23,ugm-3 (INDIC.GRAV),67,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,19:00:00,22,ugm-3 (INDIC.GRAV),52,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,20:00:00,30,ugm-3 (INDIC.GRAV),46,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,21:00:00,35,ugm-3 (INDIC.GRAV),34,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,22:00:00,40,ugm-3 (INDIC.GRAV),27,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,23:00:00,36,ugm-3 (INDIC.GRAV),31,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,03/01/2014,24:00:00,36,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,01:00:00,34,ugm-3 (INDIC.GRAV),36,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,02:00:00,27,ugm-3 (INDIC.GRAV),23,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,03:00:00,22,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,04:00:00,25,ugm-3 (INDIC.GRAV),23,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,05:00:00,20,ugm-3 (INDIC.GRAV),23,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,06:00:00,5,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,07:00:00,9,ugm-3 (INDIC.GRAV),36,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,08:00:00,12,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,09:00:00,16,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,10:00:00,26,ugm-3 (INDIC.GRAV),50,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,11:00:00,30,ugm-3 (INDIC.GRAV),69,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,12:00:00,14,ugm-3 (INDIC.GRAV),59,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,13:00:00,13,ugm-3 (INDIC.GRAV),65,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,14:00:00,14,ugm-3 (INDIC.GRAV),75,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,15:00:00,13,ugm-3 (INDIC.GRAV),82,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,16:00:00,14,ugm-3 (INDIC.GRAV),92,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,17:00:00,12,ugm-3 (INDIC.GRAV),82,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,18:00:00,16,ugm-3 (INDIC.GRAV),84,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,19:00:00,14,ugm-3 (INDIC.GRAV),90,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,20:00:00,16,ugm-3 (INDIC.GRAV),92,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,21:00:00,17,ugm-3 (INDIC.GRAV),75,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,22:00:00,20,ugm-3 (INDIC.GRAV),57,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,23:00:00,20,ugm-3 (INDIC.GRAV),50,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,04/01/2014,24:00:00,18,ugm-3 (INDIC.GRAV),54,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,01:00:00,20,ugm-3 (INDIC.GRAV),73,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,02:00:00,17,ugm-3 (INDIC.GRAV),50,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,03:00:00,16,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,04:00:00,14,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,05:00:00,14,ugm-3 (INDIC.GRAV),36,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,06:00:00,10,ugm-3 (INDIC.GRAV),46,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,07:00:00,13,ugm-3 (INDIC.GRAV),61,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,08:00:00,14,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,09:00:00,10,ugm-3 (INDIC.GRAV),73,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,10:00:00,14,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,11:00:00,14,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,12:00:00,20,ugm-3 (INDIC.GRAV),61,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,13:00:00,22,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,14:00:00,18,ugm-3 (INDIC.GRAV),63,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,15:00:00,16,ugm-3 (INDIC.GRAV),69,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,16:00:00,20,ugm-3 (INDIC.GRAV),71,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,17:00:00,18,ugm-3 (INDIC.GRAV),61,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,18:00:00,13,ugm-3 (INDIC.GRAV),48,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,19:00:00,12,ugm-3 (INDIC.GRAV),54,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,20:00:00,9,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,21:00:00,9,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,22:00:00,7,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,23:00:00,9,ugm-3 (INDIC.GRAV),25,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,05/01/2014,24:00:00,7,ugm-3 (INDIC.GRAV),21,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,01:00:00,5,ugm-3 (INDIC.GRAV),21,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,02:00:00,3,ugm-3 (INDIC.GRAV),11,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,03:00:00,9,ugm-3 (INDIC.GRAV),11,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,04:00:00,13,ugm-3 (INDIC.GRAV),10,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,05:00:00,13,ugm-3 (INDIC.GRAV),15,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,06:00:00,21,ugm-3 (INDIC.GRAV),17,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,07:00:00,30,ugm-3 (INDIC.GRAV),42,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,08:00:00,14,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,09:00:00,17,ugm-3 (INDIC.GRAV),63,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,10:00:00,13,ugm-3 (INDIC.GRAV),59,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,11:00:00,25,ugm-3 (INDIC.GRAV),54,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,12:00:00,33,ugm-3 (INDIC.GRAV),52,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,13:00:00,38,ugm-3 (INDIC.GRAV),59,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,14:00:00,42,ugm-3 (INDIC.GRAV),42,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,15:00:00,39,ugm-3 (INDIC.GRAV),40,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,16:00:00,29,ugm-3 (INDIC.GRAV),55,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,06/01/2014,17:00:00,39,ugm-3 (INDIC.GRAV),80,ugm-3
